SummaryLevel,State,StateFIPS,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,AL,01,04000US01,Alabama,4830620,3325464,1276544,23850,59599,2439,61078,81646,7032,74614,3396662,1312584,58251,75634,5186,69042,23850,19407,294,79,35,2,24,8870,7,22,172,3362,24,42,0,3679,0,77,44,34,190,61,152,0,671,153,0,32,0,0,93,29,0,164,0,252,35,42,0,7,0,76,4,679,571,90,62,11,4,13,0,0,29,3093,660,59599,11915,577,0,64,802,11286,5586,231,388,1838,10544,1497,121,25,424,10,1900,324,186,1306,9212,0,810,553,2439,588,161,0,47,1246,83,248,0,0,53,13,60697,48528,629,152,1460,11,32,26104,58,147,220,5059,207,112,66,8966,108,90,180,158,320,132,199,20,841,292,37,86,0,18,109,39,28,453,10,589,204,60,0,7,16,80,4,1225,1757,144,72,18,38,13,0,3,69,10199,77135,13476,625,0,79,1051,13261,9617,257,423,3943,13512,1772,296,35,458,46,2015,339,362,1852,10039,0,3677,5387,1479,420,0,97,1694,172,250,22,0,1253,4830620,4748974,3325464,1276544,23850,59599,2439,61078,81646,7032,74614,76866,25175,27134,10465,3705,10387,4471,309
40,AK,02,04000US02,Alaska,733375,484250,25022,101313,42921,8841,9273,61755,3202,58553,538294,37906,141686,56670,12824,12708,101313,3954,164,0,26,56,0,585,5,20,299,250,3,57,4,115,11,2,0,7,79,8,46,5,143,256,5,13,13,4,54,140,62,34,24,419,12,0,2,33,6,43,10,939,229,86798,12414,8528,22768,8855,1512,32721,7615,0,2717,42921,856,375,195,2,93,2365,23357,4166,72,1584,4980,1279,62,35,158,11,44,44,13,980,1103,0,176,971,8841,1383,5205,851,57,433,8,562,24,0,122,196,146761,14991,503,0,818,100,202,4554,15,404,1151,845,14,129,29,387,88,21,0,7,308,15,78,9,204,672,75,56,92,22,116,218,138,103,81,995,38,0,2,40,9,89,112,2252,543,117672,19328,13232,30133,14750,2727,37502,12913,642,58597,1184,375,195,7,260,4480,29929,4285,85,4357,6775,1839,82,50,173,15,68,46,53,1800,1874,0,665,13202,3263,6448,1034,82,740,113,679,24,11,808,733375,671620,484250,25022,101313,42921,8841,9273,61755,3202,58553,57193,6886,32336,7879,2285,7807,4166,396
40,AZ,04,04000US04,Arizona,6641928,5210335,281576,294721,200090,12471,430890,211845,47488,164357,5391169,348422,360878,260295,27497,482227,294721,272386,27294,61,270,157,122,2817,71,376,1258,1700,110,330,29,319,60,102,11139,4,908,94,84,33,2879,145393,134,164,369,22617,503,1550,117,190,123,1862,148,210,19541,175,4,15081,5349,8639,3418,799,154,70,360,179,12,24,313,12401,5404,200090,43322,1513,387,3105,2429,37302,36976,394,887,10269,15987,2440,314,65,1354,35,2808,290,1361,4087,27573,9,2237,4946,12471,4284,2001,1550,164,1797,855,768,105,0,637,310,369100,337994,33204,140,2187,427,214,13661,551,1170,2255,4300,155,872,148,1080,144,335,13283,4,1849,394,292,110,5719,156726,336,214,654,26764,701,2576,143,617,206,4426,657,333,22310,251,14,19907,6696,11969,5618,1478,203,75,606,265,12,317,364,23646,268945,48120,1679,487,3322,3059,47988,60287,436,1538,20946,22482,2993,431,188,1593,143,3221,444,1953,6716,31208,81,9630,28172,10395,3665,2186,440,2859,969,1036,164,0,6458,6641928,6430083,5210335,281576,294721,200090,12471,430890,211845,47488,164357,196847,44339,44708,40054,5868,61878,13497,1501
40,AR,05,04000US05,Arkansas,2958208,2307849,459748,18409,40336,6845,62484,62537,5557,56980,2365477,481428,49291,49925,9098,68462,18409,13800,305,0,135,14,0,7274,0,193,130,2463,0,39,0,428,0,138,0,66,49,85,9,0,373,147,103,214,10,0,325,47,47,64,0,151,51,68,5,0,43,0,4,820,778,156,5,83,29,39,0,0,12,2917,746,40336,9737,574,0,213,491,6364,4623,1356,184,948,2037,3801,131,17,83,0,1225,199,266,902,6297,0,496,392,6845,543,197,0,17,128,5783,19,8,0,141,9,51301,40692,912,5,1010,42,78,24904,63,639,342,5605,0,103,71,841,24,167,13,108,247,88,48,4,472,459,341,239,26,23,426,204,47,353,7,825,99,76,29,5,73,0,4,1670,1547,482,16,134,29,39,0,264,12,8568,50748,10498,592,0,213,610,7007,7424,1523,274,2291,3303,4378,172,17,83,36,1324,199,333,1246,6914,0,2311,9114,1122,487,0,33,201,5955,34,8,0,1274,2958208,2895671,2307849,459748,18409,40336,6845,62484,62537,5557,56980,59728,16698,26924,7116,1408,7582,2714,95
40,CA,06,04000US06,California,38421464,23747013,2265387,287028,5261978,150370,4974791,1734897,396499,1338398,25179712,2710216,719301,6001393,301831,5411623,287028,193315,10764,94,1938,789,1614,21962,401,1878,2570,6190,85,848,278,1422,346,358,1180,38,1209,238,351,111,40588,9191,917,433,2616,1170,1036,1900,415,619,1072,4554,1769,1914,922,408,154,4381,2239,62353,12016,2127,286,295,570,735,13,228,296,67900,11374,5261978,635718,9580,295,16324,95126,1327305,1247073,91705,28184,278354,463977,68481,3846,5142,9611,225,52695,12006,66709,52676,626143,1079,23434,146290,150370,23437,40209,19663,1644,24178,1404,2478,27023,58,7170,3106,753024,529456,31605,1189,23143,2055,4574,127332,1750,6053,7842,28999,178,2726,1382,6821,1050,1484,3057,180,5920,709,1041,330,70241,18336,2640,834,4701,3036,3463,5419,904,3037,2835,13388,4530,3527,1595,2110,493,12601,3472,112874,27531,5651,703,1267,1338,1524,400,419,886,189500,6203743,689477,10702,551,20137,114665,1549610,1550866,96255,44858,451596,525883,81919,6307,6735,10298,1620,59270,13229,72905,71886,699418,1544,124012,308113,76650,59155,25044,4129,44428,1720,3631,32210,129,61017,38421464,36686567,23747013,2265387,287028,5261978,150370,4974791,1734897,396499,1338398,1582097,232721,275051,484442,39388,550495,138950,13850
40,CO,08,04000US08,Colorado,5278906,4446095,213787,50008,153467,7695,224374,183480,35786,147694,4608186,268990,111240,209119,17266,263739,50008,32073,3475,379,557,82,105,4430,446,208,978,795,12,120,15,368,58,61,136,0,196,70,145,21,2184,6213,51,28,56,107,389,758,24,27,32,3390,223,496,6,3108,23,191,48,2062,2467,722,42,172,277,149,8,74,17,11940,2789,153467,24383,226,103,1989,2001,29649,13900,3939,1466,11212,22012,2437,224,816,4135,0,1444,132,897,3146,23127,48,2592,3589,7695,2552,1794,329,52,1658,55,504,74,159,224,294,118796,85513,8182,642,2943,225,163,21141,1043,1011,2679,2984,12,1013,140,1092,207,197,384,44,1154,265,203,21,4959,10695,446,227,111,279,837,2248,82,676,228,7183,649,620,75,4640,31,468,51,5263,5320,1477,172,409,426,254,53,163,113,26373,215747,27981,270,116,2100,2543,38420,27588,4311,2366,25185,31703,3123,311,1048,4674,40,2004,199,1335,5382,26474,102,8472,17859,6539,2843,401,326,2784,99,645,198,167,3857,5278906,5095426,4446095,213787,50008,153467,7695,224374,183480,35786,147694,168141,34735,43299,39700,4223,46184,14569,770
40,CT,09,04000US09,Connecticut,3593222,2778362,370501,8908,150670,981,181881,101919,24131,77788,2861270,422002,33311,175370,4239,208214,8908,5355,298,0,104,55,357,715,0,9,60,11,33,7,5,63,0,7,0,0,45,0,73,0,413,56,85,0,0,0,26,4,0,30,0,71,1192,119,0,0,0,0,0,1517,354,83,12,29,23,19,0,0,5,2958,153,150670,54019,2487,27,746,3142,34948,13425,34,320,3836,10010,3751,88,7,1118,0,6379,765,959,1381,8536,115,1701,2876,981,183,188,0,0,313,0,33,5,0,251,8,34884,22311,502,0,1930,220,499,4928,78,104,439,216,33,15,107,125,15,238,80,0,1072,9,153,150,559,155,90,31,5,0,63,4,0,612,11,527,2292,136,0,0,26,132,8,6747,1585,303,99,112,62,30,0,0,5,10680,179398,58207,2636,27,825,3815,41630,18546,42,519,6664,12698,4311,206,17,1141,14,6963,909,1183,2163,10168,186,6528,4364,711,289,0,9,548,0,130,56,12,2609,3593222,3491303,2778362,370501,8908,150670,981,181881,101919,24131,77788,93348,30542,12308,17599,4533,28366,7978,593
40,DC,11,04000US11,District of Columbia,647484,260325,316447,2154,23822,250,27159,17327,2442,14885,273868,324552,6122,31284,1092,29923,2154,891,0,0,0,0,33,202,19,0,19,32,0,7,0,12,0,0,0,0,0,0,34,0,105,52,0,0,0,0,0,17,0,40,0,71,28,24,0,0,0,0,0,196,522,0,0,0,0,0,0,0,12,627,102,23822,5730,281,0,139,122,5900,2946,34,105,1215,2457,41,114,0,213,16,639,215,455,513,1896,58,236,497,250,52,71,0,0,110,0,0,0,0,17,0,6340,3485,33,34,270,17,101,1048,19,0,58,166,0,12,6,38,16,108,0,0,81,0,42,0,391,59,15,0,0,0,16,17,0,55,3,89,191,24,0,0,0,0,0,576,813,19,0,19,0,0,0,0,12,2011,32099,7121,321,0,155,133,7653,4350,34,350,2350,3077,41,192,21,213,22,859,281,575,653,2207,83,1408,1092,279,94,0,0,123,0,0,22,0,574,647484,630157,260325,316447,2154,23822,250,27159,17327,2442,14885,15370,4083,1310,5275,1017,3685,1884,73
40,DE,10,04000US10,Delaware,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,664065,217312,8840,38746,1168,23906,3140,1995,6,0,39,0,0,394,0,7,14,5,0,0,0,0,0,305,0,0,43,0,57,0,162,24,0,0,0,0,4,0,28,28,0,30,17,25,0,0,0,0,0,807,132,30,13,0,0,0,11,6,4,869,110,33643,14105,74,0,9,130,7232,3481,59,103,418,2459,153,53,0,348,0,2052,78,316,162,1713,0,319,379,306,99,14,0,5,134,0,0,31,0,23,0,9135,6017,95,0,261,7,0,2326,0,94,72,49,0,0,0,6,30,440,31,0,147,0,138,0,367,115,0,57,16,0,23,72,28,28,0,164,177,25,0,0,8,72,0,1169,453,48,13,0,12,0,11,12,4,2613,39199,14681,74,0,9,201,7942,5294,59,113,1258,3040,184,82,0,360,0,2112,78,354,215,2062,0,1081,1176,354,31,14,32,200,0,60,31,0,454,926454,901188,642623,200481,3140,33643,306,20995,25266,2699,22567,23028,11805,2880,3259,1302,3782,2159,79
40,FL,12,04000US12,Florida,19645772,14934702,3171108,54569,509085,11024,493202,472082,87803,384279,15327007,3401179,156000,645847,35770,589673,54569,37004,983,16,824,196,556,9632,80,222,1246,697,0,129,45,3464,5,245,52,58,1529,55,884,55,3595,401,59,47,18,73,343,239,43,2977,37,1209,2968,514,8,0,0,189,29,3282,2192,1451,122,135,1032,121,30,11,112,12148,1662,509085,139420,5214,225,3133,6073,86420,97381,1621,2159,14073,27571,4938,484,161,1178,105,17074,1767,3042,12894,70279,177,5538,8158,11024,3320,1236,201,121,3328,451,574,123,33,1371,266,162267,115311,2653,66,5973,501,1604,43853,386,1068,3285,3618,7,308,420,9102,283,815,253,385,4927,72,1510,206,4930,1208,223,178,49,73,576,408,43,5795,135,3488,7409,944,8,0,18,307,337,7887,6186,2299,499,245,1291,179,30,55,227,38244,660062,158630,5425,225,3347,7036,111890,139111,1770,3263,30295,39443,5952,798,228,1219,263,19150,2042,3867,18717,78659,325,28407,36448,8437,2712,502,579,5449,654,765,184,76,17090,19645772,19173690,14934702,3171108,54569,509085,11024,493202,472082,87803,384279,437703,151713,66755,84372,12192,122671,31616,2763
40,GA,13,04000US13,Georgia,10006693,6025691,3096757,25887,360448,4704,279403,213803,31108,182695,6201600,3212824,80271,418415,12893,312943,25887,16037,264,28,229,27,152,6231,17,175,243,371,0,36,8,935,4,48,49,107,451,0,373,0,3232,219,49,1,0,0,245,0,0,164,67,217,431,325,12,0,33,148,0,1146,1758,415,79,20,258,58,0,0,8,6859,810,360448,111111,4923,1363,5281,4999,53627,20891,3798,2226,8179,54364,5760,148,158,3020,0,10744,1187,3497,4521,50609,32,4458,5552,4704,1399,1032,116,67,789,75,634,90,62,380,60,83623,57264,1046,61,2620,262,242,30017,54,629,819,1941,0,94,218,3580,64,317,259,118,1247,0,817,64,4403,759,134,13,15,9,285,14,93,577,165,1214,1355,518,86,27,33,225,0,2870,5146,658,117,123,267,148,3,0,15,20540,426718,118043,5148,1541,5557,6623,62947,32724,4175,2855,15300,66670,7007,306,251,3238,38,12334,1351,3884,6786,54891,51,14998,13151,4210,1863,129,168,1496,87,858,242,62,4036,10006693,9792890,6025691,3096757,25887,360448,4704,279403,213803,31108,182695,197046,75013,30822,35958,9207,46046,15199,1558
40,HI,15,04000US15,Hawaii,1406299,357164,28688,3012,530551,138901,14864,333119,10332,322787,604474,48863,32989,788539,363422,34848,3012,2125,114,0,66,0,4,491,0,17,22,69,0,0,0,49,28,0,61,0,45,0,14,16,190,311,60,0,12,0,4,17,21,5,19,78,51,8,17,7,0,22,6,301,37,181,23,30,26,25,0,77,16,520,133,530551,2338,49,0,126,504,56402,202501,70,666,182295,23017,2440,28,138,218,2069,111,158,732,1939,9795,50,411,44494,138901,87000,15791,3304,628,2576,7546,15328,117,35,800,5776,34582,24160,1191,16,1737,178,36,10877,113,271,487,1108,4,86,179,167,65,84,140,0,703,101,49,50,684,831,162,81,68,92,42,156,93,176,228,1313,511,24,56,7,13,75,30,1876,882,676,48,149,139,71,0,269,29,8835,945907,4504,56,0,196,790,196986,352100,70,1415,310595,47394,3426,134,242,264,6821,268,209,919,3675,13373,86,2384,384106,299451,35554,6241,4026,6570,9215,18675,370,61,3943,1406299,1073180,357164,28688,3012,530551,138901,14864,333119,10332,322787,212705,5232,9425,70395,1468,126185,108551,11863
40,ID,16,04000US16,Idaho,1616547,1482914,9900,20504,21711,1921,38371,41226,4935,36291,1522014,17547,37946,34237,4791,44051,20504,16960,180,68,369,84,38,1115,410,77,564,344,251,43,8,82,71,240,5,0,154,6,0,17,266,662,38,8,152,9,51,58,168,3,1139,694,16,0,85,94,175,42,43,9131,468,315,98,8,13,128,6,62,40,2080,641,21711,2301,31,68,609,77,4834,3595,124,324,2824,2173,986,18,28,512,15,264,5,214,210,1452,273,233,541,1921,547,188,274,26,422,117,93,18,0,199,37,39504,32230,634,83,797,179,58,5043,477,250,1230,1312,445,124,44,120,98,283,61,0,520,17,18,19,615,1520,156,12,295,30,232,72,272,60,1643,1615,42,21,124,194,229,86,239,12961,922,759,133,33,48,461,9,75,41,5552,35318,2890,31,68,816,161,7005,7193,155,484,6315,3139,1219,24,143,534,15,275,5,378,625,1970,273,1600,4960,1746,578,360,49,721,126,140,162,0,1078,1616547,1575321,1482914,9900,20504,21711,1921,38371,41226,4935,36291,38601,5779,14596,10256,500,7470,2506,119
40,IL,17,04000US17,Illinois,12873761,9312771,1846108,28363,645642,3407,747933,289537,58178,231359,9558427,1972360,92173,735368,13375,810571,28363,14890,587,8,392,138,153,3081,38,58,1307,834,8,108,110,202,16,33,8,21,429,147,125,129,3320,305,15,101,16,18,226,143,5,52,42,886,506,210,16,43,0,24,0,1030,2152,354,69,20,108,121,0,36,21,10445,501,645642,215703,2889,873,3594,4265,117949,120321,711,1151,17736,62873,5336,828,2339,2414,38,29778,774,5284,7876,25918,266,6066,10660,3407,1023,388,26,90,1048,15,40,212,0,533,32,95406,57818,1677,15,3727,277,329,24022,194,476,3186,3074,22,244,196,624,116,252,55,21,1247,195,241,461,5841,1092,207,269,21,18,544,317,82,410,125,3120,1197,260,96,92,0,92,10,3374,5692,555,77,75,182,140,0,81,31,31310,750246,229226,3055,885,4155,4823,134357,149917,904,1745,29887,73708,6533,1363,2421,2495,105,32906,858,6196,10972,30847,632,22256,13552,3457,1287,68,197,1716,23,264,226,0,6314,12873761,12584224,9312771,1846108,28363,645642,3407,747933,289537,58178,231359,272148,86839,38416,65296,10361,71236,15904,1485
40,IN,18,04000US18,Indiana,6568645,5529201,603014,14793,121729,2285,152022,145601,19143,126458,5661699,678881,54186,149198,5974,172970,14793,9939,234,6,195,50,19,3241,42,52,692,360,13,126,17,88,19,114,0,6,247,0,140,10,816,331,0,44,33,0,458,68,7,0,5,579,74,26,0,15,0,56,0,1756,700,288,19,8,61,200,0,0,20,3355,491,121729,34121,455,0,8292,1177,28338,12064,362,621,4928,9963,701,406,280,535,2,3889,217,984,2082,7704,46,2482,2080,2285,694,388,73,3,625,126,36,7,26,254,53,56647,39143,878,47,2859,240,383,18573,181,326,1595,1680,13,258,108,288,196,335,72,6,720,7,142,47,1381,652,147,135,50,22,959,151,11,114,68,1463,280,106,0,30,13,62,0,4545,2150,597,41,121,124,279,0,32,21,14736,152573,36539,547,0,9124,1504,33120,19287,385,1051,9631,13432,1083,477,301,585,19,4315,230,1147,3318,9499,121,6858,6208,1762,844,147,16,1085,126,39,30,26,2133,6568645,6423044,5529201,603014,14793,121729,2285,152022,145601,19143,126458,137605,61336,28862,20561,3596,23250,7365,631
