0,"{'lat': 38.4739487, 'lng': -121.4337757}"
1,"{'lat': 33.645164, 'lng': -84.2294129}"
2,"{'lat': 39.8944106, 'lng': -79.71861109999999}"
3,"{'lat': 33.7527031, 'lng': -84.3811976}"
4,"{'lat': 40.87368740000001, 'lng': -88.6428061}"
5,"{'lat': 34.1579411, 'lng': -117.3616521}"
6,"{'lat': 35.2390502, 'lng': -80.9183189}"
7,"{'lat': 40.8673455, 'lng': -97.5917783}"
8,"{'lat': 33.9156779, 'lng': -118.1250809}"
9,"{'lat': 38.9106485, 'lng': -82.92492999999999}"
10,"{'lat': 33.9250804, 'lng': -117.2497956}"
11,"{'lat': 31.98979, 'lng': -81.07615799999999}"
12,"{'lat': 40.733512, 'lng': -111.8712887}"
13,"{'lat': 40.00015459999999, 'lng': -75.2287372}"
14,"{'lat': 39.919103, 'lng': -75.234483}"
15,"{'lat': 40.4897123, 'lng': -79.79548559999999}"
16,"{'lat': 35.4496763, 'lng': -97.3884482}"
17,"{'lat': 32.9187447, 'lng': -96.6522267}"
18,"{'lat': 33.476923, 'lng': -112.111356}"
19,"{'lat': 32.3557899, 'lng': -90.14193619999999}"
20,"{'lat': 37.6686407, 'lng': -120.9916252}"
21,"{'lat': 39.3649589, 'lng': -101.0524}"
22,"{'lat': 33.75998360000001, 'lng': -117.7923329}"
23,"{'lat': 39.9516357, 'lng': -75.7251677}"
24,"{'lat': 41.51386670000001, 'lng': -88.0727955}"
25,"{'lat': 39.5277048, 'lng': -119.8074243}"
26,"{'lat': 40.768562, 'lng': -73.9186771}"
27,"{'lat': 33.6729392, 'lng': -84.3979573}"
28,"{'lat': 33.6407755, 'lng': -111.9961723}"
29,"{'lat': 44.3660924, 'lng': -70.42220019999999}"
30,"{'lat': 39.221233, 'lng': -94.634531}"
31,"{'lat': 34.6066939, 'lng': -92.53406760000001}"
32,"{'lat': 33.641526, 'lng': -112.089133}"
33,"{'lat': 40.07812699999999, 'lng': -75.17747}"
34,"{'lat': 39.9313393, 'lng': -82.9958454}"
35,"{'lat': 35.15272059999999, 'lng': -106.5880844}"
36,"{'lat': 37.7556261, 'lng': -122.1674199}"
37,"{'lat': 21.378312, 'lng': -158.143267}"
38,"{'lat': 38.4371971, 'lng': -90.3742276}"
39,"{'lat': 40.7036602, 'lng': -74.07813209999999}"
40,"{'lat': 41.8242415, 'lng': -71.4395676}"
41,"{'lat': 33.4937769, 'lng': -112.2139384}"
42,"{'lat': 32.7266073, 'lng': -117.0717535}"
43,"{'lat': 40.9093694, 'lng': -98.3440383}"
44,"{'lat': 32.680431, 'lng': -117.090553}"
45,"{'lat': 40.0549579, 'lng': -75.05397959999999}"
46,"{'lat': 40.0549579, 'lng': -75.05397959999999}"
47,"{'lat': 40.943345, 'lng': -80.40067599999999}"
48,"{'lat': 33.7691442, 'lng': -118.1820822}"
49,"{'lat': 26.2255593, 'lng': -80.09607580000001}"
50,"{'lat': 26.3686824, 'lng': -80.14563629999999}"
51,"{'lat': 42.2136461, 'lng': -83.1940987}"
52,"{'lat': 42.2136814, 'lng': -83.1938669}"
53,"{'lat': 30.5393138, 'lng': -89.7195706}"
54,"{'lat': 34.0514934, 'lng': -118.2008155}"
55,"{'lat': 42.097677, 'lng': -88.752031}"
56,"{'lat': 40.2677739, 'lng': -76.86985200000001}"
57,"{'lat': 32.747865, 'lng': -117.1143741}"
58,"{'lat': 21.338593, 'lng': -158.0217318}"
59,"{'lat': 21.338593, 'lng': -158.0217318}"
60,"{'lat': 37.3817702, 'lng': -94.70700599999999}"
61,"{'lat': 29.792769, 'lng': -91.5073084}"
62,"{'lat': 39.0995847, 'lng': -76.857108}"
63,"{'lat': 37.9117335, 'lng': -121.2253337}"
64,"{'lat': 38.572804, 'lng': -121.2951513}"
65,"{'lat': 36.175923, 'lng': -115.2371049}"
66,"{'lat': 40.685478, 'lng': -73.810898}"
67,"{'lat': 39.9363052, 'lng': -105.0113116}"
68,"{'lat': 34.0053546, 'lng': -118.0740818}"
69,"{'lat': 33.747926, 'lng': -116.9599159}"
70,"{'lat': 38.8411212, 'lng': -104.7387451}"
71,"{'lat': 45.06346509999999, 'lng': -93.3018704}"
72,"{'lat': 32.7539193, 'lng': -117.2180373}"
73,"{'lat': 34.211594, 'lng': -118.2316188}"
74,"{'lat': 41.66104, 'lng': -83.531252}"
75,"{'lat': 36.8713337, 'lng': -94.86809910000001}"
76,"{'lat': 34.018269, 'lng': -118.2822523}"
77,"{'lat': 40.0221093, 'lng': -75.1161}"
78,"{'lat': 40.6678538, 'lng': -89.62397709999999}"
79,"{'lat': 39.1023961, 'lng': -94.5484488}"
80,"{'lat': 29.6682478, 'lng': -95.31253099999999}"
81,"{'lat': 40.7004723, 'lng': -89.5784693}"
82,"{'lat': 33.9934303, 'lng': -118.116267}"
83,"{'lat': 36.8299658, 'lng': -119.8511558}"
84,"{'lat': 39.2235536, 'lng': -95.6544751}"
85,"{'lat': 33.639381, 'lng': -117.6796065}"
86,"{'lat': 33.7246463, 'lng': -84.40384619999999}"
87,"{'lat': 41.0616031, 'lng': -111.9453025}"
88,"{'lat': 32.7186342, 'lng': -117.1578401}"
89,"{'lat': 25.8859021, 'lng': -80.1820571}"
90,"{'lat': 38.6560148, 'lng': -90.23960679999999}"
91,"{'lat': 27.9655835, 'lng': -82.7876565}"
92,"{'lat': 33.6424331, 'lng': -84.4859979}"
93,"{'lat': 34.0370853, 'lng': -118.248733}"
94,"{'lat': 38.6731874, 'lng': -90.31225130000001}"
95,"{'lat': 37.6707246, 'lng': -122.4849978}"
96,"{'lat': 35.4314766, 'lng': -97.4769314}"
97,"{'lat': 32.955881, 'lng': -117.1298553}"
98,"{'lat': 41.8126818, 'lng': -87.62292699999999}"
99,"{'lat': 41.1762668, 'lng': -96.0235745}"
100,"{'lat': 41.1762668, 'lng': -96.0235745}"
101,"{'lat': 40.825276, 'lng': -73.877713}"
102,"{'lat': 40.8284707, 'lng': -73.9476522}"
103,"{'lat': 35.04774099999999, 'lng': -82.106044}"
104,"{'lat': 39.562075, 'lng': -76.373452}"
105,"{'lat': 37.2818031, 'lng': -121.8279775}"
106,"{'lat': 40.8878066, 'lng': -98.60786560000001}"
107,"{'lat': 29.7992955, 'lng': -95.5172061}"
108,"{'lat': 38.4522007, 'lng': -122.6198625}"
109,"{'lat': 35.156905, 'lng': -81.853404}"
110,"{'lat': 33.50379, 'lng': -86.973961}"
111,"{'lat': 32.5517528, 'lng': -116.9358272}"
112,"{'lat': 40.336173, 'lng': -79.9708675}"
113,"{'lat': 47.6570362, 'lng': -117.3392951}"
114,"{'lat': 38.7695936, 'lng': -90.4899216}"
115,"{'lat': 33.3352805, 'lng': -111.8243609}"
116,"{'lat': 35.5293676, 'lng': -108.7090367}"
117,"{'lat': 35.5293676, 'lng': -108.7090367}"
118,"{'lat': 35.5293676, 'lng': -108.7090367}"
119,"{'lat': 39.96222119999999, 'lng': -83.0006428}"
120,"{'lat': 39.1401834, 'lng': -84.49359729999999}"
121,"{'lat': 34.1313887, 'lng': -117.3008823}"
122,"{'lat': 39.0941639, 'lng': -94.5245676}"
123,"{'lat': 41.948123, 'lng': -87.655531}"
124,"{'lat': 40.754091, 'lng': -73.99207899999999}"
125,"{'lat': 29.9673644, 'lng': -90.0424063}"
126,"{'lat': 38.4006069, 'lng': -122.7138386}"
127,"{'lat': 39.28628860000001, 'lng': -76.50896080000001}"
128,"{'lat': 39.7383026, 'lng': -104.9315471}"
129,"{'lat': 39.7383026, 'lng': -104.9315471}"
130,"{'lat': 29.6635277, 'lng': -95.1961638}"
131,"{'lat': 37.7620801, 'lng': -122.1828789}"
132,"{'lat': 34.5407853, 'lng': -82.52015349999999}"
133,"{'lat': 34.6179659, 'lng': -82.4963641}"
134,"{'lat': 42.9828765, 'lng': -108.6210621}"
135,"{'lat': 30.858972, 'lng': -89.1877106}"
136,"{'lat': 30.858972, 'lng': -89.1877106}"
137,"{'lat': 29.373446, 'lng': -98.48157220000002}"
138,"{'lat': 39.955105, 'lng': -76.735969}"
139,"{'lat': 40.78911069999999, 'lng': -81.37330779999999}"
140,"{'lat': 40.78911069999999, 'lng': -81.37330779999999}"
141,"{'lat': 40.78911069999999, 'lng': -81.37330779999999}"
142,"{'lat': 39.3680032, 'lng': -121.6989457}"
143,"{'lat': 40.7454317, 'lng': -89.7492413}"
144,"{'lat': 30.3647826, 'lng': -81.66974019999999}"
145,"{'lat': 34.6812002, 'lng': -87.4059381}"
146,"{'lat': 34.0171944, 'lng': -118.2691859}"
147,"{'lat': 40.6842918, 'lng': -73.9104717}"
148,"{'lat': 40.6842918, 'lng': -73.9104717}"
149,"{'lat': 30.2746126, 'lng': -97.721093}"
150,"{'lat': 40.7520043, 'lng': -111.919564}"
151,"{'lat': 34.0874487, 'lng': -118.1704436}"
152,"{'lat': 41.1008678, 'lng': -81.4412256}"
153,"{'lat': 33.8106783, 'lng': -118.1511281}"
154,"{'lat': 33.1033056, 'lng': -83.2488862}"
155,"{'lat': 38.567156, 'lng': -121.495906}"
156,"{'lat': 37.4906728, 'lng': -120.9035684}"
157,"{'lat': 37.8238713, 'lng': -122.3106904}"
158,"{'lat': 33.7712906, 'lng': -84.4339595}"
159,"{'lat': 31.560895, 'lng': -85.928398}"
160,"{'lat': 34.118236, 'lng': -91.37801499999999}"
161,"{'lat': 34.1565944, 'lng': -118.832224}"
162,"{'lat': 30.3992449, 'lng': -89.09289539999999}"
163,"{'lat': 39.9982976, 'lng': -75.2326885}"
164,"{'lat': 42.76831929999999, 'lng': -73.2416476}"
165,"{'lat': 38.8317063, 'lng': -104.7770746}"
166,"{'lat': 33.3356142, 'lng': -111.7555851}"
167,"{'lat': 38.5451238, 'lng': -122.8038871}"
168,"{'lat': 33.7272402, 'lng': -117.9001445}"
169,"{'lat': 35.0365477, 'lng': -85.1949831}"
170,"{'lat': 37.86807, 'lng': -122.2783559}"
171,"{'lat': 40.6891593, 'lng': -73.9820324}"
172,"{'lat': 47.6185654, 'lng': -122.3463437}"
173,"{'lat': 33.8423341, 'lng': -116.5281682}"
174,"{'lat': 39.32201999999999, 'lng': -94.2404574}"
175,"{'lat': 33.57340670000001, 'lng': -102.377422}"
176,"{'lat': 33.7599399, 'lng': -84.7236496}"
177,"{'lat': 39.0006879, 'lng': -94.58283}"
178,"{'lat': 61.19578879999999, 'lng': -149.8857397}"
179,"{'lat': 39.2128812, 'lng': -84.5993683}"
180,"{'lat': 29.6952477, 'lng': -95.2880565}"
181,"{'lat': 33.8076842, 'lng': -92.40751619999999}"
182,"{'lat': 39.840892, 'lng': -89.59402709999999}"
183,"{'lat': 40.731252, 'lng': -73.8905209}"
184,"{'lat': 33.460166, 'lng': -112.0258947}"
185,"{'lat': 35.2179985, 'lng': -101.8427239}"
186,"{'lat': 38.7134398, 'lng': -90.2547683}"
187,"{'lat': 34.0013457, 'lng': -118.3329384}"
188,"{'lat': 33.9369666, 'lng': -118.2137117}"
189,"{'lat': 37.8326939, 'lng': -122.4811496}"
190,"{'lat': 47.4974486, 'lng': -122.2999705}"
191,"{'lat': 33.789539, 'lng': -118.197277}"
192,"{'lat': 33.9965309, 'lng': -84.577992}"
193,"{'lat': 34.6080464, 'lng': -82.11365649999999}"
194,"{'lat': 33.4748258, 'lng': -79.1099413}"
195,"{'lat': 34.6080464, 'lng': -82.11365649999999}"
196,"{'lat': 34.7755801, 'lng': -89.507206}"
197,"{'lat': 36.7224024, 'lng': -108.2215247}"
198,"{'lat': 33.7926582, 'lng': -118.1841472}"
199,"{'lat': 39.752968, 'lng': -105.030314}"
200,"{'lat': 28.0362463, 'lng': -82.4346216}"
201,"{'lat': 28.0362463, 'lng': -82.4346216}"
202,"{'lat': 37.9604903, 'lng': -121.2513973}"
203,"{'lat': 34.182648, 'lng': -118.4487327}"
204,"{'lat': 41.682697, 'lng': -87.6820915}"
205,"{'lat': 39.9752293, 'lng': -75.3336972}"
206,"{'lat': 37.9731659, 'lng': -121.9683271}"
207,"{'lat': 37.9731659, 'lng': -121.9683271}"
208,"{'lat': 38.3493195, 'lng': -122.7286541}"
209,"{'lat': 38.4549015, 'lng': -122.7143555}"
210,"{'lat': 37.7642723, 'lng': -122.2675352}"
211,"{'lat': 25.5625644, 'lng': -80.3852074}"
212,"{'lat': 38.3501456, 'lng': -91.4973801}"
213,"{'lat': 39.7112538, 'lng': -104.8470999}"
214,"{'lat': 44.31176900000001, 'lng': -69.7866509}"
215,"{'lat': 27.4488326, 'lng': -80.3356866}"
216,"{'lat': 39.9431699, 'lng': -83.0755128}"
217,"{'lat': 40.3638474, 'lng': -79.84294899999999}"
218,"{'lat': 34.4180066, 'lng': -85.76962619999999}"
219,"{'lat': 34.0243273, 'lng': -117.425389}"
220,"{'lat': 34.2600297, 'lng': -116.8665512}"
221,"{'lat': 32.8538908, 'lng': -83.6061314}"
222,"{'lat': 33.8326844, 'lng': -117.9369716}"
223,"{'lat': 41.873359, 'lng': -87.72079500000001}"
224,"{'lat': 39.7402021, 'lng': -105.081467}"
225,"{'lat': 39.7402021, 'lng': -105.081467}"
226,"{'lat': 35.3048326, 'lng': -119.0155443}"
227,"{'lat': 44.9412119, 'lng': -93.2629432}"
228,"{'lat': 36.0073948, 'lng': -96.11061060000002}"
229,"{'lat': 30.1607407, 'lng': -91.9708783}"
230,"{'lat': 27.9915195, 'lng': -82.4948807}"
231,"{'lat': 32.9040099, 'lng': -80.0853352}"
232,"{'lat': 38.8906221, 'lng': -76.8088223}"
233,"{'lat': 42.6755127, 'lng': -73.7468473}"
234,"{'lat': 37.9783551, 'lng': -121.3417676}"
235,"{'lat': 34.1070755, 'lng': -118.3309411}"
236,"{'lat': 38.8343174, 'lng': -76.9610581}"
237,"{'lat': 33.7935429, 'lng': -81.935454}"
238,"{'lat': 34.0323066, 'lng': -118.1472092}"
239,"{'lat': 34.285409, 'lng': -118.8808913}"
240,"{'lat': 36.7317906, 'lng': -119.7982246}"
241,"{'lat': 42.398325, 'lng': -71.108412}"
242,"{'lat': 45.6402479, 'lng': -110.5882976}"
243,"{'lat': 42.4802775, 'lng': -92.3571576}"
244,"{'lat': 34.9383755, 'lng': -81.9619055}"
245,"{'lat': 40.616827, 'lng': -73.992509}"
246,"{'lat': 34.0336569, 'lng': -81.0754075}"
247,"{'lat': 26.6450748, 'lng': -81.858368}"
248,"{'lat': 41.5790388, 'lng': -87.6630645}"
249,"{'lat': 40.4404428, 'lng': -79.9891887}"
250,"{'lat': 28.5669363, 'lng': -81.20756089999999}"
251,"{'lat': 34.9965997, 'lng': -78.9010378}"
252,"{'lat': 36.7696341, 'lng': -119.777042}"
253,"{'lat': 33.9020203, 'lng': -84.5413871}"
254,"{'lat': 29.7030471, 'lng': -95.219144}"
255,"{'lat': 26.5288645, 'lng': -80.0672677}"
256,"{'lat': 43.6236318, 'lng': -116.2742055}"
257,"{'lat': 34.0402614, 'lng': -118.5544137}"
258,"{'lat': 28.1395175, 'lng': -82.74872429999999}"
259,"{'lat': 30.423967, 'lng': -91.13949699999999}"
260,"{'lat': 37.8939982, 'lng': -121.6103372}"
261,"{'lat': 39.7403089, 'lng': -105.0578916}"
262,"{'lat': 35.0020017, 'lng': -82.01257849999999}"
263,"{'lat': 33.4316448, 'lng': -86.12013420000001}"
264,"{'lat': 37.6375325, 'lng': -120.8984236}"
265,"{'lat': 37.6897044, 'lng': -121.8728921}"
266,"{'lat': 32.8781179, 'lng': -96.8960164}"
267,"{'lat': 44.9489637, 'lng': -93.29986889999999}"
268,"{'lat': 38.721723, 'lng': -90.316599}"
269,"{'lat': 38.721723, 'lng': -90.316599}"
270,"{'lat': 40.4066249, 'lng': -79.8290761}"
271,"{'lat': 34.001905, 'lng': -118.3020161}"
272,"{'lat': 41.7219349, 'lng': -87.6141482}"
273,"{'lat': 32.0202757, 'lng': -90.0525718}"
274,"{'lat': 32.0202757, 'lng': -90.0525718}"
275,"{'lat': 32.0202757, 'lng': -90.0525718}"
276,"{'lat': 37.0558584, 'lng': -100.9455733}"
277,"{'lat': 41.7704189, 'lng': -87.64976399999999}"
278,"{'lat': 27.796687, 'lng': -97.46157799999999}"
279,"{'lat': 37.2317983, 'lng': -85.80508239999999}"
280,"{'lat': 37.8080504, 'lng': -122.4763747}"
281,"{'lat': 41.7797569, 'lng': -87.683584}"
282,"{'lat': 39.9557706, 'lng': -83.0566688}"
283,"{'lat': 40.8615223, 'lng': -75.7601601}"
284,"{'lat': 47.7264679, 'lng': -122.3449965}"
285,"{'lat': 43.4920467, 'lng': -112.0358361}"
286,"{'lat': 37.1947108, 'lng': -94.3100496}"
287,"{'lat': 38.2418795, 'lng': -85.8317826}"
288,"{'lat': 26.0311076, 'lng': -80.2950032}"
289,"{'lat': 35.1165183, 'lng': -106.6040452}"
290,"{'lat': 32.218687, 'lng': -110.8647}"
291,"{'lat': 35.2344129, 'lng': -80.7800596}"
292,"{'lat': 37.6077561, 'lng': -121.0304396}"
293,"{'lat': 40.4893188, 'lng': -88.9505451}"
294,"{'lat': 35.0801559, 'lng': -106.6040021}"
295,"{'lat': 41.4246088, 'lng': -82.1539469}"
296,"{'lat': 37.2957683, 'lng': -121.7841031}"
297,"{'lat': 31.8489637, 'lng': -81.6110628}"
298,"{'lat': 31.8489637, 'lng': -81.6110628}"
299,"{'lat': 31.8489637, 'lng': -81.6110628}"
300,"{'lat': 31.8489637, 'lng': -81.6110628}"
301,"{'lat': 40.5960551, 'lng': -122.3464358}"
302,"{'lat': 38.7023506, 'lng': -90.3431844}"
303,"{'lat': 37.296837, 'lng': -121.8802754}"
304,"{'lat': 45.02723899999999, 'lng': -93.402264}"
305,"{'lat': 30.3027463, 'lng': -95.4500786}"
306,"{'lat': 33.5813924, 'lng': -112.2202715}"
307,"{'lat': 37.7936476, 'lng': -122.2005265}"
308,"{'lat': 34.864795, 'lng': -106.6905336}"
309,"{'lat': 32.7184519, 'lng': -117.049347}"
310,"{'lat': 33.9183343, 'lng': -118.2024906}"
311,"{'lat': 40.7254567, 'lng': -73.7654754}"
312,"{'lat': 40.9047489, 'lng': -81.3602447}"
313,"{'lat': 40.9047489, 'lng': -81.3602447}"
314,"{'lat': 40.9047489, 'lng': -81.3602447}"
315,"{'lat': 28.0853265, 'lng': -81.62109029999999}"
316,"{'lat': 34.701793, 'lng': -82.941495}"
317,"{'lat': 35.1165183, 'lng': -106.6040452}"
318,"{'lat': 36.15106670000001, 'lng': -95.97332779999999}"
319,"{'lat': 34.1223804, 'lng': -83.8276831}"
320,"{'lat': 42.0372279, 'lng': -88.27996689999999}"
321,"{'lat': 36.1008826, 'lng': -115.1459283}"
322,"{'lat': 33.3928639, 'lng': -111.9395878}"
323,"{'lat': 42.9262068, 'lng': -89.3843837}"
324,"{'lat': 34.8440462, 'lng': -83.58802910000001}"
325,"{'lat': 41.8231526, 'lng': -87.7854172}"
326,"{'lat': 37.7834304, 'lng': -122.4101895}"
327,"{'lat': 42.0196416, 'lng': -91.51374159999999}"
